Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,2.300000,2.400000,2.240000,2.290000,1.956790,91455
2014-01-03,2.230000,2.290000,2.200000,2.290000,1.956790,94074
2014-01-06,2.215000,2.300000,2.215000,2.300000,1.965335,14096
2014-01-07,2.300000,2.330000,2.300000,2.320000,1.982424,42961
2014-01-08,2.280000,2.390000,2.270000,2.350000,2.008060,69977
2014-01-09,2.380000,2.450000,2.380000,2.410000,2.059330,60640
2014-01-10,2.420000,2.470000,2.400000,2.460000,2.102054,86984
2014-01-13,2.420000,2.450000,2.420000,2.430000,2.076419,26631
2014-01-14,2.470000,2.750000,2.470000,2.610000,2.230228,490384
2014-01-15,2.590000,2.640000,2.590000,2.610000,2.230228,233133
2014-01-16,2.590000,2.640000,2.590000,2.610000,2.230228,162273
2014-01-17,2.600000,2.620000,2.510000,2.560000,2.187503,162626
2014-01-20,2.550000,2.640000,2.540000,2.640000,2.255863,27546
2014-01-21,2.640000,2.640000,2.520000,2.570000,2.196048,12647
2014-01-22,2.570000,2.590000,2.540000,2.580000,2.204593,66511
2014-01-23,2.630000,2.630000,2.530000,2.530000,2.161869,20232
2014-01-24,2.500000,2.550000,2.490000,2.490000,2.127688,327066
2014-01-28,2.490000,2.500000,2.450000,2.500000,2.136233,58205
2014-01-29,2.500000,2.550000,2.460000,2.530000,2.161869,73636
2014-01-30,2.530000,2.530000,2.440000,2.530000,2.161869,51029
2014-01-31,2.400000,2.530000,2.340000,2.520000,2.153323,31109
2014-02-03,2.500000,2.530000,2.480000,2.520000,2.153323,40673
2014-02-04,2.460000,2.500000,2.440000,2.500000,2.136233,36508
2014-02-05,2.450000,2.480000,2.360000,2.450000,2.093509,82151
2014-02-06,2.370000,2.430000,2.350000,2.370000,2.025149,73143
2014-02-07,2.370000,2.410000,2.310000,2.350000,2.008060,40723
2014-02-10,2.350000,2.380000,2.310000,2.380000,2.033695,64353
2014-02-11,2.350000,2.380000,2.310000,2.350000,2.008060,78801
2014-02-12,2.320000,2.440000,2.320000,2.410000,2.059330,261815
2014-02-13,2.390000,2.390000,2.330000,2.340000,1.999515,37804
2014-02-14,2.310000,2.340000,2.270000,2.300000,1.965335,184340
2014-02-17,2.320000,2.450000,2.320000,2.400000,2.050784,93086
2014-02-18,2.400000,2.480000,2.390000,2.420000,2.067874,227659
2014-02-19,2.410000,2.470000,2.410000,2.450000,2.093509,7992
2014-02-20,2.360000,2.420000,2.330000,2.400000,2.050784,140354
2014-02-21,2.380000,2.420000,2.340000,2.400000,2.050784,189246
2014-02-24,2.390000,2.400000,2.370000,2.390000,2.042239,39449
2014-02-25,2.370000,2.470000,2.360000,2.460000,2.102054,108386
2014-02-26,2.500000,2.550000,2.480000,2.540000,2.170413,118956
2014-02-27,2.440000,2.490000,2.400000,2.450000,2.093509,145010
2014-02-28,2.450000,2.490000,2.390000,2.420000,2.067874,331701
2014-03-03,2.420000,2.470000,2.380000,2.410000,2.059330,97532
2014-03-04,2.410000,2.450000,2.360000,2.410000,2.059330,54597
2014-03-05,2.490000,2.500000,2.420000,2.450000,2.093509,1024312
2014-03-06,2.450000,2.480000,2.440000,2.450000,2.093509,85415
2014-03-07,2.440000,2.500000,2.430000,2.450000,2.093509,265816
2014-03-10,2.420000,2.460000,2.410000,2.450000,2.093509,70670
2014-03-11,2.460000,2.460000,2.420000,2.450000,2.093509,69980
2014-03-12,2.450000,2.450000,2.370000,2.370000,2.025149,57497
2014-03-13,2.370000,2.440000,2.370000,2.390000,2.042239,1986756
2014-03-14,2.370000,2.390000,2.350000,2.360000,2.016605,25118
2014-03-17,2.360000,2.380000,2.350000,2.370000,2.025149,160971
2014-03-18,2.370000,2.440000,2.370000,2.400000,2.050784,1289317
2014-03-19,2.330000,2.430000,2.330000,2.400000,2.085543,1912069
2014-03-20,2.370000,2.380000,2.310000,2.350000,2.042094,255649
2014-03-21,2.300000,2.460000,2.300000,2.460000,2.137682,2463397
2014-03-24,2.440000,2.440000,2.380000,2.420000,2.102923,88993
2014-03-25,2.430000,2.430000,2.370000,2.430000,2.111613,333314
2014-03-26,2.420000,2.420000,2.350000,2.410000,2.094233,83448
2014-03-27,2.390000,2.420000,2.360000,2.420000,2.102923,98740
2014-03-28,2.400000,2.420000,2.380000,2.390000,2.076854,55629
2014-03-31,2.390000,2.400000,2.320000,2.350000,2.042094,66429
2014-04-01,2.380000,2.380000,2.320000,2.380000,2.068164,71743
2014-04-02,2.350000,2.420000,2.350000,2.400000,2.085543,124155
2014-04-03,2.370000,2.420000,2.370000,2.400000,2.085543,37910
2014-04-04,2.370000,2.400000,2.350000,2.380000,2.068164,18993
2014-04-07,2.350000,2.370000,2.290000,2.370000,2.059474,71056
2014-04-08,2.370000,2.370000,2.250000,2.310000,2.007335,40091
2014-04-09,2.310000,2.320000,2.200000,2.290000,1.989956,129662
2014-04-10,2.260000,2.430000,2.250000,2.280000,1.981266,220828
2014-04-11,2.230000,2.270000,2.150000,2.260000,1.963887,624862
2014-04-14,2.240000,2.255000,2.190000,2.220000,1.929128,79787
2014-04-15,2.250000,2.250000,2.170000,2.200000,1.911748,324956
2014-04-16,2.180000,2.200000,2.170000,2.200000,1.911748,104638
2014-04-17,2.190000,2.220000,2.190000,2.200000,1.911748,76867
2014-04-22,2.200000,2.200000,2.160000,2.180000,1.894369,190274
2014-04-23,2.200000,2.200000,2.160000,2.200000,1.911748,195608
2014-04-24,2.200000,2.250000,2.180000,2.240000,1.946507,303621
2014-04-28,2.230000,2.250000,2.160000,2.250000,1.955197,87043
2014-04-29,2.250000,2.250000,2.170000,2.230000,1.937817,445288
2014-04-30,2.210000,2.240000,2.180000,2.240000,1.946507,171807
2014-05-01,2.210000,2.220000,2.180000,2.200000,1.911748,324709
2014-05-02,2.180000,2.200000,2.130000,2.200000,1.911748,5193008
2014-05-05,2.190000,2.190000,2.130000,2.160000,1.876989,54930
2014-05-06,2.130000,2.180000,2.130000,2.150000,1.868299,65269
2014-05-07,2.160000,2.200000,2.150000,2.200000,1.911748,80326
2014-05-08,2.200000,2.200000,2.170000,2.170000,1.885679,220478
2014-05-09,2.190000,2.200000,2.170000,2.200000,1.911748,68854
2014-05-12,2.150000,2.200000,2.150000,2.190000,1.903058,53279
2014-05-13,2.090000,2.090000,2.090000,2.090000,1.816160,96230
2014-05-14,2.120000,2.220000,2.110000,2.200000,1.911748,272037
2014-05-15,2.200000,2.250000,2.160000,2.220000,1.929128,155320
2014-05-16,2.210000,2.210000,2.150000,2.180000,1.894369,3028
2014-05-19,2.160000,2.160000,2.110000,2.110000,1.833540,189488
2014-05-20,2.150000,2.160000,2.110000,2.150000,1.868299,34936
2014-05-21,2.150000,2.150000,2.100000,2.120000,1.842230,107315
2014-05-22,2.090000,2.130000,2.070000,2.100000,1.824850,32341
2014-05-23,2.100000,2.130000,2.080000,2.130000,1.850920,200781
2014-05-26,2.150000,2.170000,2.140000,2.140000,1.859610,13041
2014-05-27,2.140000,2.180000,2.110000,2.110000,1.833540,29152
2014-05-28,2.110000,2.130000,2.070000,2.110000,1.833540,5716
2014-05-29,2.100000,2.180000,2.100000,2.130000,1.850920,78531
2014-05-30,2.150000,2.200000,2.130000,2.200000,1.911748,18874
2014-06-02,2.200000,2.210000,2.160000,2.160000,1.876989,72275
2014-06-03,2.170000,2.190000,2.170000,2.190000,1.903058,17443
2014-06-04,2.170000,2.200000,2.170000,2.180000,1.894369,37427
2014-06-05,2.180000,2.200000,2.150000,2.200000,1.911748,45621
2014-06-06,2.100000,2.250000,2.100000,2.210000,1.920438,150290
2014-06-10,2.200000,2.200000,2.120000,2.120000,1.842230,167431
2014-06-11,2.120000,2.190000,2.100000,2.130000,1.850920,49227
2014-06-12,2.130000,2.150000,2.130000,2.150000,1.868299,20556
2014-06-13,2.170000,2.230000,2.130000,2.230000,1.937817,228279
2014-06-16,2.200000,2.220000,2.180000,2.200000,1.911748,81829
2014-06-17,2.200000,2.250000,2.200000,2.250000,1.955197,93905
2014-06-18,2.220000,2.250000,2.200000,2.250000,1.955197,151707
2014-06-19,2.250000,2.400000,2.210000,2.390000,2.076854,561132
2014-06-20,2.360000,2.460000,2.360000,2.450000,2.128992,243539
2014-06-23,2.450000,2.470000,2.380000,2.400000,2.085543,127000
2014-06-24,2.300000,2.390000,2.300000,2.350000,2.042094,25965
2014-06-25,2.350000,2.390000,2.350000,2.390000,2.076854,31154
