Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,8.490000,8.495000,8.350000,8.350000,8.136991,1442733
2019-08-06,8.250000,8.250000,8.030000,8.030000,7.825153,7899173
2019-08-07,7.870000,8.120000,7.870000,8.080000,7.873878,4405515
2019-08-08,7.800000,7.860000,7.630000,7.680000,7.484082,14607652
2019-08-09,7.560000,7.700000,7.520000,7.680000,7.484082,8346361
2019-08-12,7.630000,7.790000,7.620000,7.770000,7.571786,6763692
2019-08-13,7.750000,7.780000,7.690000,7.760000,7.562041,4878926
2019-08-14,7.850000,7.870000,7.750000,7.820000,7.620511,5715339
2019-08-15,7.790000,7.880000,7.720000,7.860000,7.659490,13780648
2019-08-16,7.820000,7.890000,7.795000,7.840000,7.640000,6185569
2019-08-19,7.780000,7.780000,7.625000,7.700000,7.700000,5037632
2019-08-20,7.680000,7.790000,7.650000,7.760000,7.760000,3461647
2019-08-21,7.750000,7.780000,7.690000,7.760000,7.760000,4447362
2019-08-22,7.850000,7.900000,7.770000,7.840000,7.840000,3686483
2019-08-23,7.880000,7.955000,7.860000,7.920000,7.920000,5065383
2019-08-26,7.770000,7.910000,7.710000,7.910000,7.910000,3693895
2019-08-27,7.900000,8.010000,7.885000,7.980000,7.980000,4292862
2019-08-28,7.970000,8.040000,7.960000,8.000000,8.000000,3879608
2019-08-29,7.980000,8.010000,7.905000,7.930000,7.930000,5637563
2019-08-30,8.000000,8.100000,7.960000,8.060000,8.060000,5209602
2019-09-02,8.050000,8.095000,8.000000,8.050000,8.050000,2285791
2019-09-03,null,null,null,null,null,null
2019-09-04,7.930000,8.010000,7.930000,8.010000,8.010000,4347129
2019-09-05,8.080000,8.150000,8.040000,8.120000,8.120000,8009000
2019-09-06,8.150000,8.220000,8.120000,8.180000,8.180000,2543255
2019-09-09,8.200000,8.250000,8.065000,8.190000,8.190000,5176972
2019-09-10,8.090000,8.155000,8.025000,8.110000,8.110000,7374202
2019-09-11,8.110000,8.130000,8.020000,8.080000,8.080000,4715483
2019-09-12,8.080000,8.190000,8.070000,8.080000,8.080000,5455005
2019-09-13,8.030000,8.090000,8.010000,8.040000,8.040000,4151571
2019-09-16,7.920000,7.975000,7.890000,7.940000,7.940000,5857325
