Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,5.983610,6.024590,5.932380,5.983610,4.438837,4057148
2014-01-03,6.024590,6.024590,5.922130,5.932380,4.400833,4468755
2014-01-06,5.993850,5.993850,5.850410,5.881150,4.362828,5559914
2014-01-07,5.901640,5.952870,5.891390,5.911890,4.385632,8214839
2014-01-08,5.963110,5.973360,5.891390,5.911890,4.385632,6405706
2014-01-09,5.983610,5.993850,5.922130,5.973360,4.431233,6740643
2014-01-10,5.993850,6.014340,5.932380,5.993850,4.446433,5289773
2014-01-13,5.993850,5.993850,5.906760,5.932380,4.400833,4536677
2014-01-14,5.901640,5.911890,5.768440,5.788930,4.294417,7692662
2014-01-15,5.840160,5.855530,5.778690,5.840160,4.332420,4304120
2014-01-16,5.901640,5.901640,5.809430,5.829920,4.324824,6385772
2014-01-17,5.819670,5.860660,5.768440,5.860660,4.347629,9207885
2014-01-20,5.860660,5.860660,5.758200,5.809430,4.309624,4876854
2014-01-21,5.788930,5.891390,5.788930,5.891390,4.370425,3502811
2014-01-22,5.901640,5.911890,5.799180,5.911890,4.385632,3744153
2014-01-23,5.911890,5.922130,5.614750,5.737700,4.256413,30453347
2014-01-24,5.717210,5.773570,5.686480,5.737700,4.256413,6712762
2014-01-28,5.737700,5.737700,5.630120,5.635250,4.180412,12551592
2014-01-29,5.717210,5.737700,5.686480,5.727460,4.248816,7026189
2014-01-30,5.686480,5.696720,5.604510,5.635250,4.180412,5324235
2014-01-31,5.655740,5.655740,5.589140,5.625000,4.172809,7481632
2014-02-03,5.665980,5.665980,5.589140,5.635250,4.180412,4814913
2014-02-04,5.563520,5.573770,5.491800,5.532790,4.104403,8935417
2014-02-05,5.563520,5.625000,5.450820,5.481560,4.066400,7430522
2014-02-06,5.502050,5.522540,5.450820,5.512300,4.089204,7156472
2014-02-07,5.532790,5.563520,5.491800,5.522540,4.096800,4420040
2014-02-10,5.553280,5.563520,5.471310,5.502050,4.081600,6342017
2014-02-11,5.502050,5.630120,5.491800,5.604510,4.157608,6261023
2014-02-12,5.614750,5.625000,5.543030,5.584020,4.142408,6604018
2014-02-13,5.604510,5.635250,5.553280,5.584020,4.142408,7646555
2014-02-14,5.625000,5.625000,5.553280,5.604510,4.157608,8088312
2014-02-17,5.635250,5.665980,5.584020,5.655740,4.195612,5815792
2014-02-18,5.676230,5.706970,5.625000,5.625000,4.172809,5229905
2014-02-19,5.665980,5.676230,5.568650,5.594260,4.150004,10202954
2014-02-20,5.625000,5.696720,5.614750,5.655740,4.195612,9560715
2014-02-21,5.747950,5.824800,5.645490,5.686480,4.218415,10481077
2014-02-24,5.737700,5.814550,5.727460,5.799180,4.302020,10671564
2014-02-25,5.840160,5.850410,5.747950,5.788930,4.294417,6768141
2014-02-26,5.788930,5.788930,5.717210,5.737700,4.256413,7434460
2014-02-27,5.578890,5.625000,5.573770,5.614750,4.261764,5364801
2014-02-28,5.635250,5.640370,5.532790,5.563520,4.222879,10649051
2014-03-03,5.543030,5.584020,5.471310,5.584020,4.238438,7617684
2014-03-04,5.563520,5.599390,5.553280,5.573770,4.230659,6245978
2014-03-05,5.645490,5.665980,5.584020,5.594260,4.246210,11571831
2014-03-06,5.573770,5.604510,5.512300,5.553280,4.215106,9695998
