Date,Predicted,Actual,Accuracy
[Timestamp('2019-08-06 00:00:00')],4.45,4.45,1.0
[Timestamp('2019-08-07 00:00:00')],4.63,4.63,1.0
[Timestamp('2019-08-08 00:00:00')],4.69,4.69,1.0
[Timestamp('2019-08-09 00:00:00')],4.57,4.57,1.0
[Timestamp('2019-08-12 00:00:00')],4.48,4.48,1.0
[Timestamp('2019-08-13 00:00:00')],4.47,4.47,1.0
[Timestamp('2019-08-14 00:00:00')],4.08,4.08,1.0
[Timestamp('2019-08-15 00:00:00')],4.06,4.06,1.0
[Timestamp('2019-08-16 00:00:00')],3.91,3.91,1.0
[Timestamp('2019-08-19 00:00:00')],3.71,3.71,1.0
[Timestamp('2019-08-20 00:00:00')],3.58,3.58,1.0
[Timestamp('2019-08-21 00:00:00')],3.64,3.64,1.0
[Timestamp('2019-08-22 00:00:00')],3.52,3.52,1.0
[Timestamp('2019-08-23 00:00:00')],3.47,3.458360105026469,0.9966455634082043
[Timestamp('2019-08-26 00:00:00')],3.8,3.7897556735861224,0.997304124627927
[Timestamp('2019-08-27 00:00:00')],3.69,3.695657954753111,1.0015333210713038
[Timestamp('2019-08-28 00:00:00')],3.68,3.681770687569404,1.0004811651003815
[Timestamp('2019-08-29 00:00:00')],3.71,3.7080638681433444,0.9994781315750254
[Timestamp('2019-08-30 00:00:00')],3.64,3.604053659797974,0.9901246318126302
[Timestamp('2019-09-02 00:00:00')],3.63,3.6295441483491286,0.9998744210328179
[Timestamp('2019-09-03 00:00:00')],3.63,3.6296951743477464,0.9999160259911147
[Timestamp('2019-09-04 00:00:00')],3.83,3.8260485952900067,0.9989683016422994
[Timestamp('2019-09-05 00:00:00')],3.75,3.7429846555225357,0.9981292414726762
[Timestamp('2019-09-06 00:00:00')],3.56,3.5556270393661733,0.998771640271397
[Timestamp('2019-09-09 00:00:00')],3.38,3.3759056115938564,0.9987886424833895
[Timestamp('2019-09-10 00:00:00')],3.23,3.227288848096649,0.9991606340856499
[Timestamp('2019-09-11 00:00:00')],3.28,3.293609216614872,1.0041491514069731
[Timestamp('2019-09-12 00:00:00')],3.39,3.3926708811741904,1.0007878705528586
[Timestamp('2019-09-13 00:00:00')],3.33,6.793167342722821,2.039990193009856
[Timestamp('2019-09-16 00:00:00')],3.43,3.380672559719405,0.9856188220756282
