Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.520000,4.595000,4.410000,4.580000,4.580000,3226888
2019-08-06,4.700000,4.750000,4.380000,4.450000,4.450000,7481160
2019-08-07,4.500000,4.690000,4.495000,4.630000,4.630000,7327675
2019-08-08,4.710000,4.720000,4.570000,4.690000,4.690000,6263408
2019-08-09,4.650000,4.670000,4.540000,4.570000,4.570000,5554691
2019-08-12,4.540000,4.540000,4.440000,4.480000,4.480000,7307864
2019-08-13,4.490000,4.545000,4.390000,4.470000,4.470000,6192994
2019-08-14,4.290000,4.300000,4.040000,4.080000,4.080000,9214716
2019-08-15,4.180000,4.210000,4.030000,4.060000,4.060000,7514541
2019-08-16,4.030000,4.035000,3.820000,3.910000,3.910000,11309963
2019-08-19,3.820000,3.915000,3.690000,3.710000,3.710000,12344447
2019-08-20,3.530000,3.590000,3.380000,3.580000,3.580000,17164830
2019-08-21,3.670000,3.800000,3.590000,3.640000,3.640000,10356657
2019-08-22,3.620000,3.650000,3.510000,3.520000,3.520000,6328290
2019-08-23,3.500000,3.615000,3.455000,3.470000,3.470000,6177634
2019-08-26,3.890000,4.030000,3.780000,3.800000,3.800000,13622613
2019-08-27,3.750000,3.750000,3.650000,3.690000,3.690000,7335489
2019-08-28,3.800000,3.850000,3.660000,3.680000,3.680000,5389141
2019-08-29,3.700000,3.745000,3.640000,3.710000,3.710000,6282389
2019-08-30,3.630000,3.650000,3.530000,3.640000,3.640000,5975775
2019-09-02,3.680000,3.760000,3.580000,3.630000,3.630000,4443071
2019-09-03,null,null,null,null,null,null
2019-09-04,3.860000,3.930000,3.790000,3.830000,3.830000,9188297
2019-09-05,3.870000,3.885000,3.695000,3.750000,3.750000,8506593
2019-09-06,3.630000,3.640000,3.510000,3.560000,3.560000,7721731
2019-09-09,3.480000,3.480000,3.355000,3.380000,3.380000,6589997
2019-09-10,3.300000,3.310000,3.160000,3.230000,3.230000,9429460
2019-09-11,3.190000,3.310000,3.185000,3.280000,3.280000,10086792
2019-09-12,3.390000,3.440000,3.300000,3.390000,3.390000,7859223
2019-09-13,3.330000,3.405000,3.260000,3.330000,3.330000,8760582
2019-09-16,3.410000,3.490000,3.400000,3.430000,3.430000,11487077
